Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-08-13 15:02:38,false,"Tucson Running","8.47","1,174","01:39:19","156","187","3.7","146","242","11:43","8:09","151","158","0.94","0.0","14,648","95.0","No","00:03:12.3","4","105.8","01:33:39","01:39:19","2,333","2,446"
Running,2025-08-04 16:32:06,false,"Tucson Running","4.55","587","00:50:01","148","179","3.1","152","174","10:59","6:20","122","125","0.96","0.0","7,664","86.0","No","00:16:04","2","105.8","00:48:57","00:50:01","2,376","2,441"
Running,2025-07-31 15:38:04,false,"Tucson - Base","3.11","418","00:29:31","166","191","3.5","154","163","9:29","7:07","2,285","2,487","1.10","0.0","4,600","91.4","No","00:00:09.9","2","104.0","00:29:27","00:29:31","1,505","2,551"
Running,2025-07-29 15:04:25,false,"Tucson Running","9.00","1,255","01:44:00","155","193","3.9","151","232","11:33","6:45","4,466","4,864","0.92","0.0","15,762","87.8","No","00:33:11","3","109.4","01:41:47","01:44:00","1,676","2,818"
Running,2025-07-23 14:36:17,false,"Tucson Running","9.68","1,335","01:59:37","153","172","3.8","144","229","12:22","8:33","3,736","3,765","0.89","0.0","17,658","89.6","No","00:05:16.2","4","98.6","01:55:09","01:59:37","2,112","2,621"
Running,2025-07-21 16:21:57,false,"Tucson Running","3.12","371","00:37:36","128","145","2.2","150","225","12:03","9:39","1,745","2,011","0.89","0.0","5,690","73.4","No","00:00:10.8","2","86.0","00:36:26","00:37:36","1,944","2,449"
Running,2025-07-18 16:18:37,false,"Tucson - Sprint","3.56","469","00:35:01","159","185","3.5","153","203","9:50","4:27","2,523","2,542","1.08","0.0","5,482","91.4","No","00:00:15","13","100.4","00:35:01","00:35:01","1,917","2,646"
Running,2025-07-15 14:47:12,false,"Tucson Running","8.42","1,217","01:40:00","157","191","4.1","147","217","11:52","6:36","4,847","5,082","0.92","0.0","14,796","91.4","No","00:27:19","3","100.4","01:36:25","01:40:00","2,024","2,478"
Running,2025-07-08 15:12:16,false,"Tucson Running","8.34","1,165","01:49:01","153","183","3.6","138","226","13:04","6:52","4,396","4,782","0.89","0.0","15,268","93.2","No","00:28:36","3","107.6","01:39:34","01:49:01","1,626","2,544"
Running,2025-07-06 16:57:54,false,"Tucson Running","6.30","803","01:13:30","147","174","3.3","146","229","11:40","7:37","2,961","3,154","0.94","0.0","10,846","86.0","No","00:01:31.4","3","100.4","01:10:13","01:13:30","1,786","2,601"
Trail Running,2025-07-01 18:02:04,false,"Pima County Trail Running","8.27","1,195","02:24:20","137","170","3.4","123","244","17:26","9:22","4,503","3,757","0.75","0.0","18,618","89.6","No","00:35:46","3","100.4","02:13:59","02:24:20","2,774","3,888"
Running,2025-06-28 12:10:26,false,"Tucson Running","3.45","447","00:36:00","150","173","3.3","158","223","10:25","8:14","1,009","1,563","0.98","0.0","5,690","89.6","No","00:03:19.8","2","104.0","00:35:58","00:36:00","1,483","2,428"
Running,2025-06-26 15:03:29,false,"Tucson Running","9.88","1,301","01:57:21","154","181","3.7","147","229","11:53","7:46","287","270","0.92","0.0","17,424","93.2","No","00:08:32.5","4","98.6","01:51:57","01:57:21","2,322","2,449"
Running,2025-06-24 13:11:35,false,"Tucson Running","8.31","1,133","01:38:01","158","184","3.7","148","239","11:48","7:54","205","211","0.92","0.0","14,608","91.4","No","00:26:33","3","107.6","01:34:21","01:38:01","2,325","2,454"
Running,2025-06-23 16:16:27,false,"Tucson Running","2.60","320","00:29:00","138","160","2.5","156","167","11:09","9:49","162","169","0.92","0.0","4,556","86.0","No","00:29:00","1","100.4","00:28:47","00:29:00","2,384","2,463"
Running,2025-06-13 15:21:45,false,"Tucson Running","3.40","422","00:33:21","149","186","3.2","155","194","9:49","5:04","3,257","3,677","1.06","0.0","5,216","91.4","No","00:03:35.0","2","105.8","00:33:13","00:33:21","1,334","2,694"
Running,2025-06-12 16:02:28,false,"Tucson Running","3.00","351","00:30:01","140","178","2.9","159","234","10:01","6:05","1,751","2,557","1.01","0.0","4,776","87.8","No","00:30:01","1","104.0","00:29:56","00:30:01","1,491","2,428"
Running,2025-06-11 16:19:37,false,"Tucson Running","9.09","1,229","01:38:31","157","196","4.2","149","238","10:50","6:12","3,085","4,020","0.99","0.0","14,966","86.0","No","00:30:50","3","107.6","01:35:32","01:38:31","858","2,554"
Running,2025-06-09 16:50:06,false,"Tucson Running","5.74","755","01:05:01","146","170","3.3","148","186","11:20","7:44","3,055","3,298","0.96","0.0","9,778","91.4","No","00:30:05","2","105.8","01:02:27","01:05:01","1,329","2,449"
Running,2025-06-05 12:43:41,false,"Tucson Running","11.86","1,574","02:15:01","157","182","4.3","151","242","11:23","7:51","5,792","6,379","0.94","0.0","20,526","86.0","No","00:29:43","4","102.2","02:09:29","02:15:01","1,982","2,823"
